"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US10020","57280","*****","Abbeville, LA Micro Area"
"310M100US10100","40058","*****","Aberdeen, SD Micro Area"
"310M100US10140","72092","*****","Aberdeen, WA Micro Area"
"310M100US10180","163092","*****","Abilene, TX Metro Area"
"310M100US10220","36644","*****","Ada, OK Micro Area"
"310M100US10260","19541","*****","Adjuntas, PR Micro Area"
"310M100US10300","100911","*****","Adrian, MI Micro Area"
"310M100US10380","309197","*****","Aguadilla-Isabela-San Sebasti?n, PR Metro Area"
"310M100US10420","703093","*****","Akron, OH Metro Area"
"310M100US10460","62782","*****","Alamogordo, NM Micro Area"
"310M100US10500","157528","*****","Albany, GA Metro Area"
"310M100US10540","114315","*****","Albany-Lebanon, OR Micro Area"
"310M100US10580","865982","*****","Albany-Schenectady-Troy, NY Metro Area"
"310M100US10620","60109","*****","Albemarle, NC Micro Area"
"310M100US10660","31387","*****","Albert Lea, MN Micro Area"
"310M100US10700","90867","*****","Albertville, AL Micro Area"
"310M100US10740","862165","*****","Albuquerque, NM Metro Area"
"310M100US10760","53004","*****","Alexander City, AL Micro Area"
"310M100US10780","152475","*****","Alexandria, LA Metro Area"
"310M100US10820","35909","*****","Alexandria, MN Micro Area"
"310M100US10860","40631","*****","Alice, TX Micro Area"
"310M100US10880","111385","*****","Allegan, MI Micro Area"
"310M100US10900","812027","*****","Allentown-Bethlehem-Easton, PA-NJ Metro Area"
"310M100US10940","42612","*****","Alma, MI Micro Area"
"310M100US10980","29958","*****","Alpena, MI Micro Area"
"310M100US11020","127071","*****","Altoona, PA Metro Area"
"310M100US11060","26386","*****","Altus, OK Micro Area"
"310M100US11100","245177","121","Amarillo, TX Metro Area"
"310M100US11140","37620","*****","Americus, GA Micro Area"
"310M100US11180","87594","*****","Ames, IA Metro Area"
"310M100US11220","49945","*****","Amsterdam, NY Micro Area"
"310M100US11260","368414","*****","Anchorage, AK Metro Area"
"310M100US11300","131444","*****","Anderson, IN Metro Area"
"310M100US11340","183691","*****","Anderson, SC Metro Area"
"310M100US11380","14048","*****","Andrews, TX Micro Area"
"310M100US11420","34092","*****","Angola, IN Micro Area"
"310M100US11460","343947","*****","Ann Arbor, MI Metro Area"
"310M100US11500","117149","*****","Anniston-Oxford, AL Metro Area"
"310M100US11540","222359","*****","Appleton, WI Metro Area"
"310M100US11580","34557","*****","Arcadia, FL Micro Area"
"310M100US11620","56299","*****","Ardmore, OK Micro Area"
"310M100US11660","23083","*****","Arkadelphia, AR Micro Area"
"310M100US11700","416276","*****","Asheville, NC Metro Area"
"310M100US11740","53341","*****","Ashland, OH Micro Area"
"310M100US11780","101867","*****","Ashtabula, OH Micro Area"
"310M100US11820","36858","*****","Astoria, OR Micro Area"
"310M100US11860","16889","*****","Atchison, KS Micro Area"
"310M100US11900","64455","*****","Athens, OH Micro Area"
"310M100US11940","52075","*****","Athens, TN Micro Area"
"310M100US11980","78299","*****","Athens, TX Micro Area"
"310M100US12020","188932","*****","Athens-Clarke County, GA Metro Area"
"310M100US12060","5125113","*****","Atlanta-Sandy Springs-Marietta, GA Metro Area"
"310M100US12100","273162","*****","Atlantic City-Hammonton, NJ Metro Area"
"310M100US12140","41968","*****","Auburn, IN Micro Area"
"310M100US12180","80431","*****","Auburn, NY Micro Area"
"310M100US12220","135010","*****","Auburn-Opelika, AL Metro Area"
"310M100US12260","544180","*****","Augusta-Richmond County, GA-SC Metro Area"
"310M100US12300","121925","*****","Augusta-Waterville, ME Micro Area"
"310M100US12380","38855","*****","Austin, MN Micro Area"
"310M100US12420","1627571","*****","Austin-Round Rock-San Marcos, TX Metro Area"
"310M100US12460","27920","*****","Bainbridge, GA Micro Area"
"310M100US12540","815693","*****","Bakersfield-Delano, CA Metro Area"
"310M100US12580","2683160","*****","Baltimore-Towson, MD Metro Area"
"310M100US12620","152934","*****","Bangor, ME Metro Area"
"310M100US12660","60957","*****","Baraboo, WI Micro Area"
"310M100US12700","217483","*****","Barnstable Town, MA Metro Area"
"310M100US12740","59379","*****","Barre, VT Micro Area"
"310M100US12780","50339","*****","Bartlesville, OK Micro Area"
"310M100US12820","28388","*****","Bastrop, LA Micro Area"
"310M100US12860","59952","*****","Batavia, NY Micro Area"
"310M100US12900","35994","*****","Batesville, AR Micro Area"
"310M100US12940","787961","*****","Baton Rouge, LA Metro Area"
"310M100US12980","137112","*****","Battle Creek, MI Metro Area"
"310M100US13020","108156","*****","Bay City, MI Metro Area"
"310M100US13060","36647","*****","Bay City, TX Micro Area"
"310M100US13100","22591","*****","Beatrice, NE Micro Area"
"310M100US13140","384583","*****","Beaumont-Port Arthur, TX Metro Area"
"310M100US13180","88935","*****","Beaver Dam, WI Micro Area"
"310M100US13220","78513","*****","Beckley, WV Micro Area"
"310M100US13260","46192","*****","Bedford, IN Micro Area"
"310M100US13300","31896","*****","Beeville, TX Micro Area"
"310M100US13340","46006","*****","Bellefontaine, OH Micro Area"
"310M100US13380","195993","*****","Bellingham, WA Metro Area"
"310M100US13420","43781","*****","Bemidji, MN Micro Area"
"310M100US13460","154568","*****","Bend, OR Metro Area"
"310M100US13500","29112","*****","Bennettsville, SC Micro Area"
"310M100US13540","37122","*****","Bennington, VT Micro Area"
"310M100US13620","39804","*****","Berlin, NH-VT Micro Area"
"310M100US13660","42730","*****","Big Rapids, MI Micro Area"
"310M100US13700","34285","*****","Big Spring, TX Micro Area"
"310M100US13740","154044","*****","Billings, MT Metro Area"
"310M100US13780","252181","*****","Binghamton, NY Metro Area"
"310M100US13820","1115485","*****","Birmingham-Hoover, AL Metro Area"
"310M100US13860","18434","*****","Bishop, CA Micro Area"
"310M100US13900","105488","*****","Bismarck, ND Metro Area"
"310M100US13940","44496","*****","Blackfoot, ID Micro Area"
"310M100US13980","161013","*****","Blacksburg-Christiansburg-Radford, VA Metro Area"
"310M100US14020","189263","*****","Bloomington, IN Metro Area"
"310M100US14060","166706","*****","Bloomington-Normal, IL Metro Area"
"310M100US14100","84794","*****","Bloomsburg-Berwick, PA Micro Area"
"310M100US14140","106550","*****","Bluefield, WV-VA Micro Area"
"310M100US14180","46815","*****","Blytheville, AR Micro Area"
"310M100US14220","46578","*****","Bogalusa, LA Micro Area"
"310M100US14260","598730","*****","Boise City-Nampa, ID Metro Area"
"310M100US14300","33765","*****","Bonham, TX Micro Area"
"310M100US14340","26424","*****","Boone, IA Micro Area"
"310M100US14380","49705","*****","Boone, NC Micro Area"
"310M100US14420","22094","*****","Borger, TX Micro Area"
"310M100US14460","4489250","*****","Boston-Cambridge-Quincy, MA-NH Metro Area"
"310M100US14500","290177","*****","Boulder, CO Metro Area"
"310M100US14540","121861","*****","Bowling Green, KY Metro Area"
"310M100US14580","87676","*****","Bozeman, MT Micro Area"
"310M100US14620","43853","*****","Bradford, PA Micro Area"
"310M100US14660","90484","*****","Brainerd, MN Micro Area"
"310M100US14700","81327","*****","Branson, MO Micro Area"
"310M100US14740","247336","*****","Bremerton-Silverdale, WA Metro Area"
"310M100US14780","32949","*****","Brenham, TX Micro Area"
"310M100US14820","32404","*****","Brevard, NC Micro Area"
"310M100US14860","905342","*****","Bridgeport-Stamford-Norwalk, CT Metro Area"
"310M100US14940","48221","*****","Brigham City, UT Micro Area"
"310M100US15020","34622","*****","Brookhaven, MS Micro Area"
"310M100US15060","22411","*****","Brookings, OR Micro Area"
"310M100US15100","31250","*****","Brookings, SD Micro Area"
"310M100US15140","19010","*****","Brownsville, TN Micro Area"
"310M100US15180","393566","*****","Brownsville-Harlingen, TX Metro Area"
"310M100US15220","38199","*****","Brownwood, TX Micro Area"
"310M100US15260","109099","*****","Brunswick, GA Metro Area"
"310M100US15340","44294","*****","Bucyrus, OH Micro Area"
"310M100US15380","1137266","*****","Buffalo-Niagara Falls, NY Metro Area"
"310M100US15420","41633","*****","Burley, ID Micro Area"
"310M100US15460","47728","*****","Burlington, IA-IL Micro Area"
"310M100US15500","147072","*****","Burlington, NC Metro Area"
"310M100US15540","209381","*****","Burlington-South Burlington, VT Metro Area"
"310M100US15580","33797","*****","Butte-Silver Bow, MT Micro Area"
"310M100US15620","47615","*****","Cadillac, MI Micro Area"
"310M100US15660","54059","*****","Calhoun, GA Micro Area"
"310M100US15700","32287","*****","Cambridge, MD Micro Area"
"310M100US15740","40351","*****","Cambridge, OH Micro Area"
"310M100US15780","31822","*****","Camden, AR Micro Area"
"310M100US15820","24247","*****","Campbellsville, KY Micro Area"
"310M100US15860","46941","*****","Ca?on City, CO Micro Area"
"310M100US15900","37205","*****","Canton, IL Micro Area"
"310M100US15940","405334","*****","Canton-Massillon, OH Metro Area"
"310M100US15980","606165","*****","Cape Coral-Fort Myers, FL Metro Area"
"310M100US16020","95177","*****","Cape Girardeau-Jackson, MO-IL Metro Area"
"310M100US16060","59864","*****","Carbondale, IL Micro Area"
"310M100US16100","52665","*****","Carlsbad-Artesia, NM Micro Area"
"310M100US16180","55375","*****","Carson City, NV Metro Area"
"310M100US16220","73520","*****","Casper, WY Metro Area"
"310M100US16260","44439","*****","Cedar City, UT Micro Area"
"310M100US16300","254571","*****","Cedar Rapids, IA Metro Area"
"310M100US16340","41095","*****","Cedartown, GA Micro Area"
"310M100US16380","40958","*****","Celina, OH Micro Area"
"310M100US16420","31541","*****","Central City, KY Micro Area"
"310M100US16460","39722","*****","Centralia, IL Micro Area"
"310M100US16500","74650","*****","Centralia, WA Micro Area"
"310M100US16540","146558","*****","Chambersburg, PA Micro Area"
"310M100US16580","228688","*****","Champaign-Urbana, IL Metro Area"
"310M100US16620","304033","*****","Charleston, WV Metro Area"
"310M100US16660","64641","*****","Charleston-Mattoon, IL Micro Area"
"310M100US16700","641930","*****","Charleston-North Charleston-Summerville, SC Metro Area"
"310M100US16740","1687440","*****","Charlotte-Gastonia-Rock Hill, NC-SC Metro Area"
"310M100US16820","197279","*****","Charlottesville, VA Metro Area"
"310M100US16860","518288","*****","Chattanooga, TN-GA Metro Area"
"310M100US16900","33246","*****","Chester, SC Micro Area"
"310M100US16940","89221","*****","Cheyenne, WY Metro Area"
"310M100US16980","9384661","*****","Chicago-Joliet-Naperville, IL-IN-WI Metro Area"
"310M100US17020","218635","*****","Chico, CA Metro Area"
"310M100US17060","77537","*****","Chillicothe, OH Micro Area"
"310M100US17140","2110398","*****","Cincinnati-Middletown, OH-KY-IN Metro Area"
"310M100US17200","43643","*****","Claremont, NH Micro Area"
"310M100US17220","93257","*****","Clarksburg, WV Micro Area"
"310M100US17260","26681","*****","Clarksdale, MS Micro Area"
"310M100US17300","263531","*****","Clarksville, TN-KY Metro Area"
"310M100US17340","64371","*****","Clearlake, CA Micro Area"
"310M100US17380","35063","*****","Cleveland, MS Micro Area"
"310M100US17420","113882","*****","Cleveland, TN Metro Area"
"310M100US17460","2086589","*****","Cleveland-Elyria-Mentor, OH Metro Area"
"310M100US17500","39030","*****","Clewiston, FL Micro Area"
"310M100US17540","49274","*****","Clinton, IA Micro Area"
"310M100US17580","46924","*****","Clovis, NM Micro Area"
"310M100US17620","71494","*****","Coamo, PR Micro Area"
"310M100US17660","134851","*****","Coeur d'Alene, ID Metro Area"
"310M100US17700","35453","*****","Coffeyville, KS Micro Area"
"310M100US17740","46083","*****","Coldwater, MI Micro Area"
"310M100US17780","219058","*****","College Station-Bryan, TX Metro Area"
"310M100US17820","622809","*****","Colorado Springs, CO Metro Area"
"310M100US17860","168187","*****","Columbia, MO Metro Area"
"310M100US17900","744145","*****","Columbia, SC Metro Area"
"310M100US17940","79029","*****","Columbia, TN Micro Area"
"310M100US17980","290204","*****","Columbus, GA-AL Metro Area"
"310M100US18020","75855","*****","Columbus, IN Metro Area"
"310M100US18060","59482","*****","Columbus, MS Micro Area"
"310M100US18100","31675","*****","Columbus, NE Micro Area"
"310M100US18140","1798377","*****","Columbus, OH Metro Area"
"310M100US18180","146785","*****","Concord, NH Micro Area"
"310M100US18220","24367","*****","Connersville, IN Micro Area"
"310M100US18260","103838","*****","Cookeville, TN Micro Area"
"310M100US18300","63319","*****","Coos Bay, OR Micro Area"
"310M100US18340","36006","*****","Corbin, KY Micro Area"
"310M100US18380","23182","*****","Cordele, GA Micro Area"
"310M100US18420","36708","*****","Corinth, MS Micro Area"
"310M100US18460","42212","*****","Cornelia, GA Micro Area"
"310M100US18500","98724","*****","Corning, NY Micro Area"
"310M100US18580","423717","*****","Corpus Christi, TX Metro Area"
"310M100US18620","47483","*****","Corsicana, TX Micro Area"
"310M100US18660","49452","*****","Cortland, NY Micro Area"
"310M100US18700","84158","*****","Corvallis, OR Metro Area"
"310M100US18740","37046","*****","Coshocton, OH Micro Area"
"310M100US18820","38138","*****","Crawfordsville, IN Micro Area"
"310M100US18860","28471","*****","Crescent City, CA Micro Area"
"310M100US18880","182076","*****","Crestview-Fort Walton Beach-Destin, FL Metro Area"
"310M100US18900","54977","*****","Crossville, TN Micro Area"
"310M100US18940","61139","*****","Crowley, LA Micro Area"
"310M100US18980","79941","*****","Cullman, AL Micro Area"
"310M100US19020","45749","*****","Culpeper, VA Micro Area"
